Year,Period,Estimate,Standard Error
2003,Annual,0.78,0.012
2004,Annual,0.76,0.014
2005,Annual,0.75,0.014
2006,Annual,0.76,0.018
2007,Annual,0.73,0.015
2008,Annual,0.71,0.014
2009,Annual,0.7,0.014
2010,Annual,0.7,0.016
2011,Annual,0.7,0.017
2012,Annual,0.74,0.018
2013,Annual,0.72,0.017
2014,Annual,0.71,0.018
2015,Annual,0.68,0.016
2016,Annual,0.65,0.016
2017,Annual,0.65,0.02
2018,Annual,0.64,0.018
2019,Annual,0.64,0.018
2020,Annual,,
2021,Annual,0.57,0.018
2022,Annual,0.56,0.017
2023,Annual,0.57,0.016
2024,Annual,0.59,0.019